site_number,airport_name,icao,s_week_start,s_week_end,s_sat_start,s_sat_end,s_sun_start,s_sun_end,s_ph_start,s_ph_end,w_week_start,w_week_end,w_sat_start,w_sat_end,w_sun_start,w_sun_end,w_ph_start,w_ph_end,taf_freq,taf_len,rules,bench,country_code
3803,St Marys,EGHE,7,18,7,18,,,7,18,8,17,8,18,,,8,17,3,9,civil,civil_av1,ENG
352206,Lands End,EGHC,6,18,6,18,,,9,18,8,18,8,12,,,8,18,3,9,civil,civil_av1,ENG
3817,Newquay,EGHQ,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,civil_av1,ENG
3844,Exeter,EGTE,9,4,9,17,9,17,9,4,10,4,,,12,15,9,4,3,9,civil,civil_av1,ENG
3862,Bournemouth,EGHH,5,23,5,1,5,21,5,23,6,22,6,22,6,22,6,22,3,9,civil,civil_av1,ENG
3,Southampton,EGHI,5,22,5,22,6,22,6,22,6,23,6,23,7,23,7,23,3,9,civil,civil_av1,ENG
99038,Gloucester,EGBJ,7,19,7,19,8,19,8,19,8,20,8,19,8,19,8,19,3,9,civil,civil_av1,ENG
3716,St Athan,EGSY,8,16,8,16,8,16,8,16,9,17,9,17,9,17,9,17,3,9,civil,civil_av1,ENG
9,Birmingham,EGBB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av1,ENG
18,East Midlands,EGNX,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av1,ENG
3492,Norwich,EGSH,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av2,ENG
3220,Carlisle,EGNC,6,18,6,18,6,18,6,18,9,18,9,18,9,18,9,18,3,9,civil,civil_av2,ENG
63,Caernarfon,EGCK,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,civil_av2,WLS
3318,Blackpool,EGNH,6,20,6,20,6,20,6,20,7,21,7,21,7,21,7,21,3,9,offshore,civil_av2,ENG
98,Warton,EGNO,6,18,,,,,6,18,8,19,,,,,8,19,3,9,civil,civil_av2,ENG
3321,Hawarden,EGNR,5,20,7,18,7,18,5,20,6,21,8,19,8,19,6,21,3,9,civil,civil_av2,WLS
37,Durham Teeside,EGNV,5,21,5,21,5,21,5,21,8,21,,,12,20,8,21,3,9,civil,civil_av2,ENG
22,Humberside,EGNJ,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av2,ENG
3334,Manchester Ringway,EGCC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,30,civil,civil_av2,ENG
3246,Newcastle,EGNT,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av2,ENG
301603,Doncaster,EGCN,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av2,ENG
26,Liverpool,EGGP,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,offshore,civil_av2,ENG
25,Leeds Bradford,EGNM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av2,ENG
3026,Stornoway,EGPO,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,civil_av3,SCT
3022,Benbecula,EGPL,3,17,3,15,3,18,3,18,3,18,3,15,3,18,3,18,3,9,offshore,civil_av3,SCT
3100,Tiree,EGPU,6,18,6,18,14,18,6,18,6,19,6,19,14,18,6,19,3,9,civil,civil_av3,SCT
301886,Oban,EGEO,7,17,9,17,9,17,9,17,8,17,8,14,10,17,10,17,3,9,civil,civil_av3,SCT
